number,category,categories,state,created,labels,title
2486,copy-ux,copy-ux,OPEN,2026-09-03,code-quality|area:backend,"Connect setup prompt: the closing ""tell me to approve the budget"" sentence duplicates the --json relay and fires even when no approval is needed"
2485,flake,flake,OPEN,2026-09-03,qa-failure,qa-dev money-flow failed (2026-09-03)
2484,feature,feature,OPEN,2026-09-03,area:sdk,"Connect: skip the approval wait on non-TTY prose runs, and put budget details + wallet label in the approve-budget CTA"
2483,feature,feature,OPEN,2026-09-03,area:backend,Setup prompt: agent-run setups should append --json and immediately relay the approval instruction to the user
2482,copy-ux,copy-ux,OPEN,2026-09-03,money-path|area:frontend,"Connect: make the server-side credential path findable and friendly — it is a supported integration, not a confession"
2477,false-instrument,false-instrument,CLOSED,2026-09-03,code-quality|area:docs|area:ci,"last-verified chains are silently duplicating on merge, and chain-integrity.mjs cannot see it"
2473,logic-bug,logic-bug,CLOSED,2026-09-03,money-path|area:frontend,"""Add budget"" on the agent page does nothing for an agent with no budget — the grant form's token list is derived from budgets that don't exist yet"
2472,logic-bug,logic-bug,CLOSED,2026-09-03,money-path|area:frontend|area:backend,Manual credential fallback dead-ends at finalizing_local and can never reach budget approval
2469,rail-retirement,rail-retirement,CLOSED,2026-09-03,code-quality|money-path|area:backend,"safe-retirement: rename ChainRail off the retired-rail name, and delete the four dead x402-authorization exports"
2468,feature,feature,CLOSED,2026-09-03,code-quality|area:frontend|area:docs,Delete the /investor-briefing page — investor material now goes out via the dataroom
2466,stale-doc,stale-doc,OPEN,2026-09-02,area:docs,docs: finish the connector-channel @alpha audit (the sites #2422 deliberately left)
2464,false-instrument,false-instrument,CLOSED,2026-09-02,code-quality|area:frontend|area:ci,"screenshot capture-manifest stamps the last commit, not what was actually rendered — a dirty tree makes its provenance claim unfalsifiable"
2459,rail-retirement,rail-retirement,CLOSED,2026-09-02,area:frontend,Delete the zero-caller optDownToLegacyRail e2e helper and decide the legacySafe cascade
2457,false-instrument,false-instrument,CLOSED,2026-09-02,code-quality|area:docs|area:ci,"docs:coupling names the doc when covered code changes, but never the covered file when the doc's claim goes stale"
2455,process,process,OPEN,2026-09-02,code-quality|area:docs,"agent workflow: the ""reviewer gets a disposable copy"" rule is not enforceable — reviewers can and do read the live worktree"
2449,flake,flake,CLOSED,2026-09-02,qa-failure,qa-dev money-flow failed (2026-09-02)
2448,stale-doc,stale-doc|rail-retirement,CLOSED,2026-09-02,code-quality|area:frontend,"/design-system showcase still teaches the retired ""x402 payment"" transaction-row title"
2445,false-instrument,false-instrument,CLOSED,2026-09-02,code-quality,"qa-agent: x402-erc7710-fresh-agent reads getCode once, unpolled, against a different RPC node than the backend used"
2444,false-instrument,false-instrument,OPEN,2026-09-02,code-quality|operator-verify,"qa-agent: x402-delegation-3009 declares PASS while the payment is still on the delegate, poisoning its neighbour's money proof"
2443,flake,flake,CLOSED,2026-09-02,qa-failure,qa-dev money-flow failed (2026-09-02)
2433,copy-ux,copy-ux,CLOSED,2026-09-02,area:frontend,"Extract the inline danger alert into a primitive — it is hand-written in 8 files, past #901's 2nd-occurrence rule"
2432,copy-ux,copy-ux,CLOSED,2026-09-02,area:frontend,"Account removal is called ""Remove account"", ""Delete {name}?"" and ""Delete account"" in three consecutive steps"
2427,stale-doc,stale-doc,CLOSED,2026-09-02,code-quality|area:docs|area:ci,deployment_status runs DO report headBranch=dev — the 'a Railway deployment has no branch' premise in the gate docs is measured false (design unaffected)
2426,false-instrument,false-instrument,CLOSED,2026-09-02,code-quality|ci-health,🩺 A CI guard has stopped proving its guarantee
2425,feature,feature,OPEN,2026-09-02,area:docs,docs: package dev-channel runbook + operator steps; update release/branch-flow/dev-environment docs
2424,feature,feature,OPEN,2026-09-02,area:sdk|area:mcp|area:connect,connect: local runtime-spec override (`HAVEN_SIGNER_SPEC` etc.) so a developer can install an unpublished signer/SDK/MCP build
2423,feature,feature,OPEN,2026-09-02,area:sdk|area:mcp|area:connect,sdk/connect/signer/mcp-server: derive every `connect@alpha` re-run hint from one build-time channel constant
2422,feature,feature,CLOSED,2026-09-02,area:frontend|area:backend,backend: make the connector handout channel-aware (`HAVEN_CONNECTOR_CHANNEL`) so the dev dashboard hands out `npx @haven_ai/connect@dev`
2421,feature,feature,CLOSED,2026-09-02,area:sdk|area:mcp|area:ci,publish.yml: publish `0.0.0-dev.<ts>.<sha>` snapshots under the `dev` dist-tag on every package-touching push to `dev`
2420,feature,feature,OPEN,2026-09-02,epic|area:frontend|area:backend|area:sdk|area:mcp|area:docs|area:connect|area:ci,Epic: dev channel for the published npm packages (dev-branch snapshots under the `dev` dist-tag)
2418,flake,flake,CLOSED,2026-09-02,code-quality|area:backend,db-harness: orphaned test_w<N> schemas make every warm resetDb() pay a ~100ms catalog scan — reap them at startup under the worker advisory lock
2416,logic-bug,logic-bug,CLOSED,2026-09-02,money-path|area:backend,"Budget build reports ""Revoked agents cannot receive new budget delegations"" for an in-flight re-key on a healthy agent"
2415,logic-bug,logic-bug,CLOSED,2026-09-02,money-path|area:backend,Budget activation holds an agent row lock across an RPC call — move the delegate-address derivation off the locked path
2414,logic-bug,logic-bug,CLOSED,2026-09-02,area:frontend,Unlinking an account with a live budget delegation fails silently — the new 409 has no frontend handling
2413,rail-retirement,rail-retirement,CLOSED,2026-09-02,money-path|area:frontend|area:backend|area:docs,"safe-retirement: stop rendering legacy Safe accounts at the single funnel, then delete every account_type branch behind it"
2411,logic-bug,logic-bug,CLOSED,2026-09-02,qa-failure,qa-dev money-flow failed (2026-09-02)
2408,contract-drift,contract-drift,CLOSED,2026-09-02,code-quality|area:backend,"allowanceHumanAmount can discriminate the two wire shapes — formatTokenValue guarantees '0' or <int>.<2–6 digits>, so the pattern can reject atomic values"
2404,false-instrument,false-instrument,CLOSED,2026-09-02,code-quality|area:ci,qa-freshness: let the promotion gate SEE the deployment_status post-deploy runs — its query is `--branch dev` and a Railway deployment has no branch
2403,false-instrument,false-instrument,CLOSED,2026-09-02,code-quality|area:docs,"demo-merchant: pin the remaining `assertExtensionsEchoed` branches the README claims (non-object echo, dropped/empty keys, HTTP 402 body + `X-PAYMENT` alias)"
2400,contract-drift,contract-drift,CLOSED,2026-09-01,code-quality|area:backend,Two allowance emitters cannot be pinned by the spec as written — DashboardAgentAllowance.allowanceAmount is a bare string and PUT /agents/{id} answers an open envelope
2397,false-instrument,false-instrument,CLOSED,2026-09-01,code-quality,"demo-merchant: pin ""x402Version mismatch with a perfect extensions echo is still refused"" with a unit test"
2395,stale-doc,stale-doc,CLOSED,2026-09-01,code-quality|area:mcp|area:docs,Two comments still name the haven_x402_authorize alias that #2394 deletes — signer core.ts JSDoc and package-docs.mjs
2393,stale-doc,stale-doc,CLOSED,2026-09-01,code-quality|area:sdk,"SKILL.md tells agents haven_pay takes ""recipient"" — the declared field is ""to"""
2392,contract-drift,contract-drift,CLOSED,2026-09-01,code-quality|area:backend,Two more allowance emitters lack an expectMatchesSpec round trip — /dashboard/overview and POST /agents — and the emitter list names a route that does not exist
2389,stale-doc,stale-doc,CLOSED,2026-09-01,code-quality|area:docs,design-system.md body still says the visual gate renders /design-system only — the §9 row #2318 fixed now contradicts it
2387,stale-doc,stale-doc,CLOSED,2026-09-01,code-quality|area:docs,"branch-and-release-flow.md teaches the closing keyword by illustration only, with no bare-emit rule"
2385,stale-doc,stale-doc,CLOSED,2026-09-01,code-quality|area:docs,Docs teach the backticked closing keyword the template just stopped using
2384,false-instrument,false-instrument,CLOSED,2026-09-01,,qa-agent: pin the erc7710 scenarios' authorize body so dropping `paymentRequired` fails a unit test
2383,stale-doc,stale-doc,CLOSED,2026-09-01,area:docs,demo-merchant README: document the advertised `haven-demo` extensions and the enforced x402 v2 echo
2382,process,process,CLOSED,2026-09-01,area:docs,PR template: the backticked `Closes #<n>` placeholder never closes the issue
2375,stale-doc,stale-doc,CLOSED,2026-09-01,code-quality|area:docs,"docs-quality-system.md names design-system.md's last-verified chain ""oldest-first""; it reads newest-first"
2374,copy-ux,copy-ux,CLOSED,2026-09-01,code-quality|area:frontend,"/accounts: the card's ""set as default"" star is an unlabelled icon, now permanently visible on touch"
2373,logic-bug,logic-bug,CLOSED,2026-09-01,code-quality|money-path|area:sdk,"x402: erc7710 prepare never sends paymentRequired, so the settle echo has nothing to echo"
2372,flake,flake,CLOSED,2026-09-01,qa-failure,qa-dev money-flow failed (2026-09-01)
2366,contract-drift,contract-drift,OPEN,2026-09-01,code-quality|area:sdk|area:mcp,"mcp-server + mcp: converge the local and hosted argument spellings, and give the hosted quote a request body"
2365,stale-doc,stale-doc,CLOSED,2026-09-01,code-quality|area:mcp|area:docs,tools.ts:426 argues the haven_complete_mcp_tool strictness exclusion from a premise #2359 made false
2363,stale-doc,stale-doc,CLOSED,2026-09-01,code-quality|area:mcp,STRICT_INPUT_TOOLS' comment still says the shipped SKILL.md 'says' a sentence #2353 deleted
2361,contract-drift,contract-drift,CLOSED,2026-09-01,money-path|area:backend|area:sdk|area:mcp,x402 v2: echo the challenge's resource and extensions in the payment payload (spec MUST)
2360,other,other,CLOSED,2026-09-01,money-path,x402: CoinGecko rejects Haven payments at its CDP facilitator — investigation record and remaining probes
2357,copy-ux,copy-ux,CLOSED,2026-09-01,code-quality|area:frontend,"Transaction row titles render ""Machine payment demo"" and a bare ""x402 payment"" on primary surfaces"
2356,copy-ux,copy-ux,CLOSED,2026-09-01,code-quality|area:frontend,"Transaction rows render ""<agent> delegate"" on the dashboard and transactions table, an advanced-copy term on a primary surface"
2354,flake,flake,CLOSED,2026-09-01,code-quality|area:backend,"A warm resetDb() still loses to contention — 5000ms under load, 647ms alone"
2353,stale-doc,stale-doc,OPEN,2026-09-01,code-quality|money-path|area:sdk|area:mcp,SKILL.md tells agents to pass haven_complete_mcp_tool a payment_required it has never declared
2349,contract-drift,contract-drift,CLOSED,2026-09-01,code-quality|area:mcp,"mcp-server: strict input, batch 3 — decide the remaining fourteen hosted tools, and guard the decision"
2348,contract-drift,contract-drift,CLOSED,2026-09-01,code-quality|money-path|area:sdk|area:mcp,"mcp-server: strict input, batch 2 — the four tools where the local MCP teaches a different argument name"
